Date,Category,Type,Amount
26-02-2000,Transportation,Expense,-24.92
26-02-2000,Coffee/Snacks,Expense,-13.07
26-02-2000,Eating Out,Expense,-81.78
27-02-2000,Transportation,Expense,-7.44
27-02-2000,Coffee/Snacks,Expense,-6.99
27-02-2000,Eating Out,Expense,-54.69
27-02-2000,Eating Out,Expense,-24.19
27-02-2000,Coffee/Snacks,Expense,-16.88
28-02-2000,Groceries,Expense,-82.97
28-02-2000,Transportation,Expense,-44.07
28-02-2000,Groceries,Expense,-29.68
28-02-2000,Transportation,Expense,-14.75
29-02-2000,Transportation,Expense,-52.19
29-02-2000,Coffee/Snacks,Expense,-17.29
29-02-2000,Groceries,Expense,-29.74
29-02-2000,Coffee/Snacks,Expense,-20.17
01-03-2000,Rent/Mortgage,Expense,-1500
01-03-2000,Eating Out,Expense,-53.83
01-03-2000,Coffee/Snacks,Expense,-9.65
01-03-2000,Groceries,Expense,-29.48
01-03-2000,Eating Out,Expense,-65.08
01-03-2000,Groceries,Expense,-135.41
01-03-2000,Transportation,Expense,-25.3
01-03-2000,Salary,Income,2500
02-03-2000,Transportation,Expense,-74.61
02-03-2000,Groceries,Expense,-90.51
02-03-2000,Groceries,Expense,-105.85
02-03-2000,Transportation,Expense,-57.29
02-03-2000,Transportation,Expense,-10.82
02-03-2000,Transportation,Expense,-40.05
03-03-2000,Transportation,Expense,-24.96
03-03-2000,Eating Out,Expense,-86.97
03-03-2000,Transportation,Expense,-25.15
03-03-2000,Groceries,Expense,-134.26
03-03-2000,Eating Out,Expense,-95.55
03-03-2000,Coffee/Snacks,Expense,-6.79
04-03-2000,Eating Out,Expense,-36.5
04-03-2000,Coffee/Snacks,Expense,-8.31
04-03-2000,Transportation,Expense,-49.59
04-03-2000,Groceries,Expense,-107.67
04-03-2000,Groceries,Expense,-94.93
04-03-2000,Coffee/Snacks,Expense,-19.29
05-03-2000,Coffee/Snacks,Expense,-4.66
05-03-2000,Groceries,Expense,-140.02
05-03-2000,Eating Out,Expense,-25.6
05-03-2000,Coffee/Snacks,Expense,-3.97
05-03-2000,Groceries,Expense,-58.48
05-03-2000,Utilities,Expense,-220.7
06-03-2000,Eating Out,Expense,-23.66
06-03-2000,Transportation,Expense,-72.09
06-03-2000,Coffee/Snacks,Expense,-15.6
06-03-2000,Transportation,Expense,-49.55
06-03-2000,Transportation,Expense,-62.01
07-03-2000,Coffee/Snacks,Expense,-7.47
07-03-2000,Eating Out,Expense,-49.32
07-03-2000,Transportation,Expense,-50.55
07-03-2000,Transportation,Expense,-5.47
07-03-2000,Groceries,Expense,-41.95
07-03-2000,Groceries,Expense,-121.88
08-03-2000,Eating Out,Expense,-43.45
08-03-2000,Coffee/Snacks,Expense,-12.67
08-03-2000,Eating Out,Expense,-43.94
08-03-2000,Transportation,Expense,-17.13
08-03-2000,Transportation,Expense,-68.09
08-03-2000,Transportation,Expense,-35.63
09-03-2000,Transportation,Expense,-48.88
09-03-2000,Transportation,Expense,-51.55
09-03-2000,Eating Out,Expense,-24.16
09-03-2000,Transportation,Expense,-42.09
09-03-2000,Eating Out,Expense,-91.39
09-03-2000,Groceries,Expense,-97.22
09-03-2000,Transportation,Expense,-45.98
10-03-2000,Transportation,Expense,-57.25
10-03-2000,Coffee/Snacks,Expense,-7.83
10-03-2000,Groceries,Expense,-102.41
10-03-2000,Transportation,Expense,-55.69
10-03-2000,Eating Out,Expense,-27.45
10-03-2000,Transportation,Expense,-22.65
11-03-2000,Transportation,Expense,-50.08
11-03-2000,Groceries,Expense,-56.85
11-03-2000,Groceries,Expense,-101.05
11-03-2000,Transportation,Expense,-11.79
12-03-2000,Groceries,Expense,-68.35
12-03-2000,Groceries,Expense,-55.31
12-03-2000,Eating Out,Expense,-20.61
12-03-2000,Coffee/Snacks,Expense,-13.1
12-03-2000,Groceries,Expense,-16.71
12-03-2000,Coffee/Snacks,Expense,-15.72
12-03-2000,Coffee/Snacks,Expense,-7.51
13-03-2000,Groceries,Expense,-35.57
13-03-2000,Groceries,Expense,-97.14
13-03-2000,Transportation,Expense,-47.79
13-03-2000,Coffee/Snacks,Expense,-22.21
14-03-2000,Groceries,Expense,-128.29
14-03-2000,Transportation,Expense,-54.15
14-03-2000,Eating Out,Expense,-85.73
14-03-2000,Coffee/Snacks,Expense,-8.3
15-03-2000,Eating Out,Expense,-94.93
15-03-2000,Salary,Income,2500
15-03-2000,Phone/Internet,Expense,-106.12
15-03-2000,Coffee/Snacks,Expense,-24.9
15-03-2000,Coffee/Snacks,Expense,-20.06
15-03-2000,Coffee/Snacks,Expense,-14.49
15-03-2000,Eating Out,Expense,-22.91
15-03-2000,Eating Out,Expense,-31.39
15-03-2000,Groceries,Expense,-72.01
16-03-2000,Eating Out,Expense,-16.04
16-03-2000,Coffee/Snacks,Expense,-14.19
16-03-2000,Transportation,Expense,-37.16
16-03-2000,Coffee/Snacks,Expense,-17.42
16-03-2000,Groceries,Expense,-28.75
16-03-2000,Transportation,Expense,-61.23
17-03-2000,Groceries,Expense,-145.2
17-03-2000,Groceries,Expense,-132.38
17-03-2000,Coffee/Snacks,Expense,-3.26
17-03-2000,Transportation,Expense,-49.24
18-03-2000,Coffee/Snacks,Expense,-5.14
18-03-2000,Transportation,Expense,-6.9
18-03-2000,Transportation,Expense,-48.56
18-03-2000,Groceries,Expense,-137.98
18-03-2000,Groceries,Expense,-26.32
18-03-2000,Groceries,Expense,-130.47
19-03-2000,Eating Out,Expense,-67.97
19-03-2000,Coffee/Snacks,Expense,-9.97
19-03-2000,Groceries,Expense,-56.05
19-03-2000,Transportation,Expense,-24.27
20-03-2000,Transportation,Expense,-26.28
20-03-2000,Groceries,Expense,-42.14
20-03-2000,Groceries,Expense,-69.03
20-03-2000,Coffee/Snacks,Expense,-11.73
20-03-2000,Coffee/Snacks,Expense,-7.39
20-03-2000,Eating Out,Expense,-73.22
20-03-2000,Groceries,Expense,-52.38
21-03-2000,Eating Out,Expense,-16.42
21-03-2000,Coffee/Snacks,Expense,-17.13
21-03-2000,Eating Out,Expense,-96.35
21-03-2000,Coffee/Snacks,Expense,-19.59
22-03-2000,Groceries,Expense,-81.3
22-03-2000,Eating Out,Expense,-53
22-03-2000,Transportation,Expense,-42.59
22-03-2000,Groceries,Expense,-79.97
23-03-2000,Groceries,Expense,-43.61
23-03-2000,Eating Out,Expense,-15.1
23-03-2000,Transportation,Expense,-58.95
23-03-2000,Eating Out,Expense,-96.81
24-03-2000,Eating Out,Expense,-18.35
24-03-2000,Transportation,Expense,-55.58
24-03-2000,Eating Out,Expense,-48.8
24-03-2000,Transportation,Expense,-45.33
24-03-2000,Transportation,Expense,-21.61
24-03-2000,Groceries,Expense,-106.25
24-03-2000,Groceries,Expense,-140.66
25-03-2000,Transportation,Expense,-46.9
25-03-2000,Eating Out,Expense,-93.69
25-03-2000,Transportation,Expense,-29.55
25-03-2000,Groceries,Expense,-106.47
26-03-2000,Transportation,Expense,-16.12
26-03-2000,Transportation,Expense,-15.72
26-03-2000,Groceries,Expense,-22.61
26-03-2000,Coffee/Snacks,Expense,-6.79
27-03-2000,Groceries,Expense,-146.91
27-03-2000,Eating Out,Expense,-48.26
27-03-2000,Eating Out,Expense,-36.47
27-03-2000,Transportation,Expense,-37.34
27-03-2000,Transportation,Expense,-49.75
27-03-2000,Transportation,Expense,-28.16
28-03-2000,Coffee/Snacks,Expense,-7.5
28-03-2000,Transportation,Expense,-34.93
28-03-2000,Coffee/Snacks,Expense,-18.06
28-03-2000,Eating Out,Expense,-62.11
28-03-2000,Groceries,Expense,-96.3
28-03-2000,Coffee/Snacks,Expense,-13.48
29-03-2000,Eating Out,Expense,-54.94
29-03-2000,Eating Out,Expense,-39.47
29-03-2000,Groceries,Expense,-133.84
29-03-2000,Groceries,Expense,-116.83
30-03-2000,Eating Out,Expense,-40.67
30-03-2000,Transportation,Expense,-22.38
30-03-2000,Transportation,Expense,-44.4
30-03-2000,Groceries,Expense,-126.28
31-03-2000,Groceries,Expense,-125.46
31-03-2000,Groceries,Expense,-58.86
31-03-2000,Transportation,Expense,-17.45
31-03-2000,Coffee/Snacks,Expense,-12.87
31-03-2000,Coffee/Snacks,Expense,-24.46
31-03-2000,Coffee/Snacks,Expense,-15.13
31-03-2000,Groceries,Expense,-107.01
01-04-2000,Salary,Income,2500
01-04-2000,Rent/Mortgage,Expense,-1500
01-04-2000,Transportation,Expense,-13.26
01-04-2000,Eating Out,Expense,-23.11
01-04-2000,Transportation,Expense,-41.9
01-04-2000,Groceries,Expense,-19.3
01-04-2000,Groceries,Expense,-107.86
01-04-2000,Transportation,Expense,-24.3
01-04-2000,Groceries,Expense,-132.03
02-04-2000,Coffee/Snacks,Expense,-13.08
02-04-2000,Coffee/Snacks,Expense,-6.63
02-04-2000,Transportation,Expense,-73.06
02-04-2000,Coffee/Snacks,Expense,-22.8
02-04-2000,Coffee/Snacks,Expense,-18.5
02-04-2000,Transportation,Expense,-63.99
02-04-2000,Eating Out,Expense,-71.54
03-04-2000,Entertainment,Expense,-186.07
03-04-2000,Groceries,Expense,-28.2
03-04-2000,Coffee/Snacks,Expense,-23.98
03-04-2000,Coffee/Snacks,Expense,-10.72
03-04-2000,Eating Out,Expense,-43.09
04-04-2000,Transportation,Expense,-35.18
04-04-2000,Coffee/Snacks,Expense,-4.17
04-04-2000,Coffee/Snacks,Expense,-19.83
04-04-2000,Groceries,Expense,-124.45
04-04-2000,Eating Out,Expense,-83.9
04-04-2000,Transportation,Expense,-70.86
05-04-2000,Groceries,Expense,-39.48
05-04-2000,Utilities,Expense,-188.15
05-04-2000,Eating Out,Expense,-76.64
05-04-2000,Eating Out,Expense,-64.93
05-04-2000,Groceries,Expense,-60.24
05-04-2000,Eating Out,Expense,-32.6
06-04-2000,Coffee/Snacks,Expense,-9.45
06-04-2000,Coffee/Snacks,Expense,-9.27
06-04-2000,Coffee/Snacks,Expense,-16.74
06-04-2000,Transportation,Expense,-9.32
06-04-2000,Coffee/Snacks,Expense,-5.11
06-04-2000,Eating Out,Expense,-68.35
06-04-2000,Eating Out,Expense,-11.56
07-04-2000,Groceries,Expense,-27.83
07-04-2000,Eating Out,Expense,-47.41
07-04-2000,Coffee/Snacks,Expense,-20.2
07-04-2000,Coffee/Snacks,Expense,-17.91
07-04-2000,Transportation,Expense,-63.07
07-04-2000,Coffee/Snacks,Expense,-7.31
08-04-2000,Coffee/Snacks,Expense,-12.39
08-04-2000,Eating Out,Expense,-73.14
08-04-2000,Transportation,Expense,-40.51
08-04-2000,Groceries,Expense,-40.89
08-04-2000,Transportation,Expense,-56.73
08-04-2000,Groceries,Expense,-23.04
08-04-2000,Coffee/Snacks,Expense,-23.83
09-04-2000,Transportation,Expense,-72.31
09-04-2000,Eating Out,Expense,-68.92
09-04-2000,Coffee/Snacks,Expense,-22.47
09-04-2000,Groceries,Expense,-143.53
09-04-2000,Transportation,Expense,-47.49
10-04-2000,Groceries,Expense,-27.89
10-04-2000,Coffee/Snacks,Expense,-22.23
10-04-2000,Transportation,Expense,-39.16
10-04-2000,Transportation,Expense,-30.97
10-04-2000,Coffee/Snacks,Expense,-9.21
10-04-2000,Transportation,Expense,-8.78
11-04-2000,Coffee/Snacks,Expense,-10.84
11-04-2000,Transportation,Expense,-65.3
11-04-2000,Transportation,Expense,-20.98
11-04-2000,Coffee/Snacks,Expense,-3.93
11-04-2000,Groceries,Expense,-128.48
11-04-2000,Coffee/Snacks,Expense,-17.11
12-04-2000,Eating Out,Expense,-30.6
12-04-2000,Coffee/Snacks,Expense,-24.96
12-04-2000,Groceries,Expense,-42.26
12-04-2000,Transportation,Expense,-23.74
12-04-2000,Eating Out,Expense,-66.52
12-04-2000,Transportation,Expense,-55.18
12-04-2000,Coffee/Snacks,Expense,-3.5
13-04-2000,Coffee/Snacks,Expense,-7.62
13-04-2000,Groceries,Expense,-34.06
13-04-2000,Eating Out,Expense,-36.87
13-04-2000,Transportation,Expense,-12.56
13-04-2000,Eating Out,Expense,-50.96
13-04-2000,Transportation,Expense,-32.09
14-04-2000,Entertainment,Expense,-104.26
14-04-2000,Groceries,Expense,-95.67
14-04-2000,Coffee/Snacks,Expense,-17.91
14-04-2000,Transportation,Expense,-62.95
14-04-2000,Eating Out,Expense,-76.58
14-04-2000,Coffee/Snacks,Expense,-17.94
15-04-2000,Groceries,Expense,-115.56
15-04-2000,Groceries,Expense,-94.94
15-04-2000,Groceries,Expense,-143.94
15-04-2000,Groceries,Expense,-31.34
15-04-2000,Transportation,Expense,-42.08
15-04-2000,Transportation,Expense,-40.38
15-04-2000,Phone/Internet,Expense,-102.63
15-04-2000,Salary,Income,2500
16-04-2000,Coffee/Snacks,Expense,-7.42
16-04-2000,Groceries,Expense,-65.87
16-04-2000,Eating Out,Expense,-11.19
16-04-2000,Eating Out,Expense,-91.2
16-04-2000,Eating Out,Expense,-51.21
16-04-2000,Transportation,Expense,-32.96
17-04-2000,Eating Out,Expense,-72.75
17-04-2000,Transportation,Expense,-59.56
17-04-2000,Coffee/Snacks,Expense,-21.97
17-04-2000,Groceries,Expense,-62.69
17-04-2000,Groceries,Expense,-103.01
18-04-2000,Coffee/Snacks,Expense,-13.68
18-04-2000,Coffee/Snacks,Expense,-15.27
18-04-2000,Groceries,Expense,-69.87
18-04-2000,Groceries,Expense,-88.75
19-04-2000,Eating Out,Expense,-39.87
19-04-2000,Groceries,Expense,-33.85
19-04-2000,Groceries,Expense,-113.52
19-04-2000,Groceries,Expense,-135.61
19-04-2000,Transportation,Expense,-50.04
20-04-2000,Eating Out,Expense,-26.46
